Terim,İngilizce,Tanım,Örnek,İlgili
Ağırlıklı Genel Not Ortalaması,GPA — Grade Point Average,"Öğrencinin tüm dersleri için aldığı harf notlarının kredi ağırlıklı ortalaması. Ticaret İstatistik Not Hesaplayıcısı bu değeri dönem bazında hesaplar.","4 krediden BA (3.50) ve 3 krediden BB (3.00) alan öğrencinin AGNO'su: (4×3.50 + 3×3.00) / (4+3) = 3.29.",Ortalama
ANOVA,Analysis of Variance,"Üç ya da daha fazla grup ortalamasının istatistiksel olarak anlamlı biçimde farklılaşıp farklılaşmadığını test eden yöntem. İki grup karşılaştırmasında t-testinin genellemesidir.","Üç farklı çalışma tekniğiyle hazırlanan öğrencilerin sınav puanları arasında fark olup olmadığı ANOVA ile test edilir.",T-testi; Hipotez testi; P-değeri
Aykırı değer,Outlier,"Veri setindeki genel eğilimden uzakta kalan, dağılımdan belirgin biçimde sapmış gözlem. Ortalamayı ve standart sapmayı ciddi ölçüde etkileyebilir.","Bir mahallede beş evin kira değeri 10.000, 11.000, 12.000, 9.000 ve 150.000 TL olsun. Son değer tipik bir aykırı değerdir; ortalamayı (38.400 TL) yapay biçimde yukarı çeker. Medyan bu durumda daha güvenilir ölçüdür.",Medyan; Ortalama; Çeyrekler arası aralık
Bağımlı değişken,Dependent variable,"Bir çalışmada diğer değişkenlerin etkisiyle değiştiği varsayılan, ölçülen sonuç değişkeni. Regresyon modellerinde Y ile gösterilir.","Ders çalışma süresinin sınav notuna etkisi araştırılıyorsa, sınav notu bağımlı değişkendir.",Bağımsız değişken; Regresyon
Bağımsız değişken,Independent variable,"Çalışmada manipüle edilen veya açıklayıcı rol oynayan değişken. Regresyon modellerinde X ile gösterilir.","Ders çalışma süresinin sınav notuna etkisi incelendiğinde, çalışma süresi bağımsız değişkendir.",Bağımlı değişken; Regresyon
Beklenen değer,Expected value,"Bir rastgele değişkenin olası değerlerinin, olasılıklarıyla ağırlıklı ortalaması. Uzun vadeli ortalamanın matematiksel karşılığıdır. E(X) ile gösterilir.","Adil bir zarın atılmasında beklenen değer E(X) = (1+2+3+4+5+6)/6 = 3.5'tir. Tek atışta 3.5 gelmez; uzun vadede ortalama bu değere yakınsar.",Olasılık; Varyans
Betimsel istatistik,Descriptive statistics,"Veriyi özetleyen ve tanımlayan istatistik yöntemleri. Merkezî eğilim (ortalama, medyan), yayılım (standart sapma) ve frekans gibi ölçüler bu gruba girer.","Bir sınıfın yaş dağılımının histogramı ve ortalama yaş betimsel istatistiğin ürünüdür.",Çıkarımsal istatistik; Ortalama; Standart sapma
Çeyrekler arası aralık,Interquartile Range (IQR),"Veri setinin %25'lik (Q1) ile %75'lik (Q3) yüzdelik dilimleri arasındaki fark. Aykırı değerlerden etkilenmeyen, yayılımı ölçen sağlam bir istatistik.","10, 20, 30, 40, 50 verisinde Q1 = 15, Q3 = 45 ise IQR = 45 - 15 = 30'dur. Kutu grafiklerinde iç kutu bu aralığı gösterir.",Medyan; Aykırı değer; Dağılım
Çıkarımsal istatistik,Inferential statistics,"Örneklemden elde edilen bilgiyle popülasyon hakkında genelleme yapmaya çalışan istatistik dalı. Hipotez testleri ve güven aralıkları bu alana girer.","1000 seçmenle yapılan anketten ülke genelinin oy tercihini tahmin etmek çıkarımsal istatistiğin klasik örneğidir.",Betimsel istatistik; Güven aralığı; Hipotez testi
Çoklu regresyon,Multiple regression,Bir bağımlı değişkeni birden fazla bağımsız değişkenle açıklamaya çalışan doğrusal modelleme yöntemi.,"Ev fiyatının metrekare, konum ve yaş ile birlikte modellenmesi.",Regresyon; Bağımlı değişken; Bağımsız değişken
Etki büyüklüğü,Effect size,"İki grup arasındaki farkın veya değişkenler arası ilişkinin pratik büyüklüğünü gösteren ölçü. P-değerinden farklı olarak örneklem büyüklüğüne duyarlı değildir. Cohen'in d'si yaygın bir örnektir.","Yeni bir öğretim yönteminin sınav puanlarında 0.8 standart sapmalık artış sağlaması (Cohen's d = 0.8) büyük bir etki büyüklüğüdür.",P-değeri; Hipotez testi
Frekans,Frequency,"Bir değerin veya kategorinin veri setinde kaç kez gözlendiği. Göreli frekans ise toplam gözleme oranıdır.","50 kişilik sınıfta 'A' harf notu alan 12 öğrenci varsa A notunun frekansı 12, göreli frekansı 0.24'tür.",Histogram; Dağılım
Güven aralığı,Confidence interval,"Popülasyon parametresinin (örn. ortalama) belirli bir güven düzeyiyle (genellikle %95) içinde bulunacağı tahmini değer aralığı.","Anket sonucunda ortalama gelirin %95 güven aralığı [28.000 TL, 32.000 TL] ise, benzer örneklemlerin %95'inde gerçek ortalamanın bu aralıkta yer alması beklenir.",Standart hata; Örneklem; Popülasyon
Hipotez testi,Hypothesis testing,"Bir iddianın (sıfır hipotezi) veriyle sınanması süreci. Sonuç, iddianın yeterli kanıtla reddedilip reddedilemeyeceğini belirler.","Bir ilacın etkili olmadığı (sıfır hipotez) varsayılır; deney verisinde yeterli fark bulunursa hipotez reddedilir.",P-değeri; T-testi; ANOVA
